"Berth_Type","Berth_Name","Port_Country","Vessel_Class","Estimated_Quantity","Vessel_Imo","Arrival_Time","Departure_Time","Vessel_Destination_On_Departure","Vessel_Name","Maps_Der","Vessel_Capacity","Eta_For_Next_Destination_Change","Berth_Name_clean","Vessel_Destination_clean","n_viajes","vol_total","pct_vol","pct_acum"
"Imports","Kagoshima 5","Japan","Tanker-VLCC",332734,9513402,46235,46237,"Kiire","KAZUSA","IMO 9513402",339525,NA,"Kagoshima","Kiire",5,1464429,0.0118566430056944,0.392486929957572
"Imports","Dongjiakou","China","Tanker-VLCC",329276,9197894,46225,46237,"DJK","RAPHAELA","IMO 9197894",335996,NA,"Dongjiakou","Djk",6,1550627,0.0125545388502897,0.368220382679744
"Exports","George Town","Guyana","Tanker-Suezmax",164038,9843340,46235,46237,"ONE GUYANA","YUAN NAN HAI","IMO 9843340",167386,NA,"George Town","One Guyana",12,2127689,0.017226679408932,0.209282842187992
"Exports","Muscat 2","Oman","Tanker-VLCC",333886,9689976,46235,46237,"OMAN","NEW DREAM","IMO 9689976",340700,NA,"Muscat","Oman",8,2453421,0.0198639448820487,0.0994153108315211
"Imports","Europoort 15","Netherlands","Tanker-LR2",121520,9947366,46236,46237,"Rotterdam","NAVIG8 PRIDE LHJ","IMO 9947366",124000,NA,"Europoort","Rotterdam",25,3721971,0.0301346677951251,0.0301346677951251
"Exports","CPC Ceyhan","Turkey","Tanker-Aframax",112125,9336397,46236,46237,"Genova","LILLESAND","IMO 9336397",114413,NA,"Ceyhan","Genova",9,1144802,0.00926880622154091,0.462039062395822
"Exports","Westridge_Alberta","Canada","Tanker-Aframax",118644,9408310,46235,46237,"Vancouver (CA)","SEA VOYAGER","IMO 9408310",121065,NA,"Westridge Alberta","Vancouver",14,1601455,0.0129660640595647,0.355665843829454
"Imports","Yeosu 3","South Korea","Tanker-VLCC",318674,9845221,46236,46237,"Yosu","V. ADVANCE","IMO 9845221",325178,NA,"Yeosu","Yosu",7,2054393,0.0166332436699884,0.225916085857981
"Imports","Punto Franco 1","Italy","Tanker-Suezmax",166300,9565948,46236,46237,"Trieste","SPYROS K","IMO 9565948",169694,NA,"Punto Franco","Trieste",18,2401607,0.0194444365954079,0.118859747426929
"Imports","Universal 1","Singapore","Tanker-Suezmax",167157,9579509,46235,46237,"Singapore","ALMI GALAXY","IMO 9579509",170568,NA,"Universal","Singapore",8,1159542,0.00938814756065938,0.452770256174281
