"Reporter","Product","Partner","Tariff Year","DutyType","Reporter Name","Product Name","Partner Name","Simple Average","Nbr of Total Lines","Weighted Average"
"036","270900","012",2023,"AHS","Australia","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"036","270900","012",2023,"BND","Australia","270900 --  Petroleum oils and oils obtained from b","Algeria",,,
"036","270900","012",2023,"MFN","Australia","270900 --  Petroleum oils and oils obtained from b","Algeria",0,2,0
"036","270900","360",2023,"AHS","Australia","270900 --  Petroleum oils and oils obtained from b","Indonesia",0,2,0
"036","270900","360",2023,"BND","Australia","270900 --  Petroleum oils and oils obtained from b","Indonesia",,,
"036","270900","360",2023,"MFN","Australia","270900 --  Petroleum oils and oils obtained from b","Indonesia",0,2,0
"036","270900","434",2023,"AHS","Australia","270900 --  Petroleum oils and oils obtained from b","Libya",0,2,0
"036","270900","434",2023,"BND","Australia","270900 --  Petroleum oils and oils obtained from b","Libya",,,
"036","270900","434",2023,"MFN","Australia","270900 --  Petroleum oils and oils obtained from b","Libya",0,2,0
"036","270900","566",2023,"AHS","Australia","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,2,0
"036","270900","566",2023,"BND","Australia","270900 --  Petroleum oils and oils obtained from b","Nigeria",,,
"036","270900","566",2023,"MFN","Australia","270900 --  Petroleum oils and oils obtained from b","Nigeria",0,2,0
"036","270900","784",2023,"AHS","Australia","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,2,0
"036","270900","784",2023,"BND","Australia","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",,,
"036","270900","784",2023,"MFN","Australia","270900 --  Petroleum oils and oils obtained from b","United Arab Emirates",0,2,0
"036","270900","840",2023,"AHS","Australia","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"036","270900","840",2023,"BND","Australia","270900 --  Petroleum oils and oils obtained from b","United States",,,
"036","270900","840",2023,"MFN","Australia","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"152","270900","032",2023,"AHS","Chile","270900 --  Petroleum oils and oils obtained from b","Argentina",0,2,0
"152","270900","032",2023,"BND","Chile","270900 --  Petroleum oils and oils obtained from b","Argentina",25,3,25
"152","270900","032",2023,"MFN","Chile","270900 --  Petroleum oils and oils obtained from b","Argentina",6,2,6
"152","270900","076",2023,"AHS","Chile","270900 --  Petroleum oils and oils obtained from b","Brazil",0,2,0
"152","270900","076",2023,"BND","Chile","270900 --  Petroleum oils and oils obtained from b","Brazil",25,3,25
"152","270900","076",2023,"MFN","Chile","270900 --  Petroleum oils and oils obtained from b","Brazil",6,2,6
"152","270900","218",2023,"AHS","Chile","270900 --  Petroleum oils and oils obtained from b","Ecuador",0,2,0
"152","270900","218",2023,"BND","Chile","270900 --  Petroleum oils and oils obtained from b","Ecuador",25,3,25
"152","270900","218",2023,"MFN","Chile","270900 --  Petroleum oils and oils obtained from b","Ecuador",6,2,6
"152","270900","840",2023,"AHS","Chile","270900 --  Petroleum oils and oils obtained from b","United States",0,2,0
"152","270900","840",2023,"BND","Chile","270900 --  Petroleum oils and oils obtained from b","United States",25,3,25
"152","270900","840",2023,"MFN","Chile","270900 --  Petroleum oils and oils obtained from b","United States",6,2,6
"156","270900","012",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Algeria",0,1,0
"156","270900","012",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Algeria",,,
"156","270900","012",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Algeria",0,1,0
"156","270900","024",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Angola",0,1,0
"156","270900","024",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Angola",,,
"156","270900","024",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Angola",0,1,0
"156","270900","032",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Argentina",0,1,0
"156","270900","032",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Argentina",,,
"156","270900","032",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Argentina",0,1,0
"156","270900","036",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Australia",0,1,0
"156","270900","036",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Australia",,,
"156","270900","036",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Australia",0,1,0
"156","270900","076",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Brazil",0,1,0
"156","270900","076",2023,"BND","China","270900 --  Petroleum oils and oils obtained from b","Brazil",,,
"156","270900","076",2023,"MFN","China","270900 --  Petroleum oils and oils obtained from b","Brazil",0,1,0
"156","270900","120",2023,"AHS","China","270900 --  Petroleum oils and oils obtained from b","Cameroon",0,1,0
